	9.1	9.2	8	7	6	5	4	P	3	2	1	N
LH041	22.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Labraceae	14.0	0.0	0.0	0.0	2.0	4.0	44.0	1.0	0.0	4.0	10.0	0.0
Lachnospiraceae	139.0	16.0	0.0	0.0	559.0	628.0	448.0	13.0	0.0	88.0	293.0	21.0
Lactobacillaceae	15.0	2.0	1.0	0.0	70.0	114.0	56.0	75950.0	1.0	11.0	51.0	1.0
Latescibacteraceae	0.0	0.0	0.0	0.0	9.0	5.0	19.0	0.0	0.0	0.0	9.0	0.0
Leeiaceae	0.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	4.0	0.0
Legionellaceae	136.0	27.0	0.0	0.0	347.0	386.0	946.0	7.0	1.0	92.0	622.0	1.0
Lenti-02	11.0	1.0	0.0	0.0	19.0	31.0	17.0	1.0	0.0	6.0	7.0	0.0
Lentimicrobiaceae	28.0	2.0	0.0	0.0	32.0	49.0	13.0	0.0	0.0	7.0	29.0	0.0
Lentisphaeraceae	26.0	3.0	0.0	0.0	25.0	43.0	141.0	0.0	0.0	38.0	63.0	0.0
Leptolyngbyaceae	5.0	0.0	0.0	0.0	5.0	9.0	2.0	0.0	0.0	2.0	14.0	0.0
Leptospiraceae	20.0	0.0	0.0	0.0	36.0	24.0	39.0	0.0	0.0	0.0	11.0	0.0
Leptotrichiaceae	33.0	3.0	0.0	0.0	72.0	47.0	18.0	0.0	0.0	14.0	63.0	0.0
Leuconostocaceae	0.0	0.0	0.0	0.0	1.0	1.0	29.0	0.0	0.0	0.0	4.0	0.0
LiUU-11-161	6.0	2.0	0.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0	10.0	0.0
Limnochordaceae	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0
Listeriaceae	18.0	3.0	2.0	1.0	61.0	68.0	25.0	120574.0	1.0	9.0	61.0	3.0
Litoricolaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Longimicrobiaceae	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
